ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
634,1,1,862,1756,894
635,0,0,120,0,-120
636,1,0,45,0,-45
637,1,0,41,0,-41
638,1,1,109,3401,3292
639,0,0,88,0,-88
640,1,0,72,0,-72
641,0,0,45,0,-45
642,1,0,15,0,-15
643,0,0,19,0,-19
644,1,1,86,1299,1213
645,1,1,985,1630,645
646,1,0,46,0,-46
647,0,0,12,0,-12
648,0,0,32,0,-32
649,1,0,32,0,-32
650,0,0,80,0,-80
651,1,1,469,1434,965
652,0,0,41,0,-41
653,0,0,0,0,0
654,1,0,25,0,-25
655,1,0,3,0,-3
656,0,0,62,0,-62
657,1,0,25,0,-25
658,1,1,361,1338,977
659,1,0,76,0,-76
660,1,1,921,1252,331
661,1,0,103,0,-103
662,0,0,14,0,-14
663,1,1,1296,1406,110
664,0,0,29,0,-29
665,0,0,10,0,-10
666,1,1,71,1490,1419
667,0,0,49,0,-49
668,0,0,33,0,-33
669,1,0,32,0,-32
670,1,1,2691,1333,-1358
671,1,0,94,0,-94
672,0,0,1,0,-1
673,1,0,58,0,-58
674,0,0,13,0,-13
675,1,1,270,1895,1625
676,1,0,96,0,-96
677,0,0,66,0,-66
678,0,0,132,0,-132
679,0,0,96,0,-96
680,0,0,68,0,-68
681,1,0,28,0,-28
682,1,0,20,0,-20
683,1,1,695,1285,590
684,0,0,77,0,-77
685,0,0,6,0,-6
686,0,0,0,0,0
687,0,0,8,0,-8
688,1,0,6,0,-6
689,0,0,48,0,-48
690,1,1,1809,1469,-340
691,0,0,56,0,-56
692,0,0,153,0,-153
693,1,1,861,1532,671
694,0,0,31,0,-31
695,1,0,15,0,-15
696,1,1,1898,1287,-611
697,0,0,8,0,-8
698,1,1,30,1553,1523
699,0,0,10,0,-10
700,0,0,14,0,-14
701,1,0,174,0,-174
702,0,0,5,0,-5
703,1,1,146,1581,1435
704,1,0,48,0,-48
705,0,0,17,0,-17
706,0,0,40,0,-40
707,0,0,8,0,-8
708,0,0,19,0,-19
709,1,1,85,1415,1330
710,0,0,2,0,-2
711,1,0,13,0,-13
712,1,1,426,2604,2178
713,0,0,7,0,-7
714,1,1,144,1289,1145
715,0,0,12,0,-12
716,1,1,175,1627,1452
717,1,0,7,0,-7
718,1,0,34,0,-34
719,1,1,2043,2282,239
720,1,0,4,0,-4
721,1,0,3,0,-3
722,1,0,13,0,-13
723,1,0,8,0,-8
724,0,0,28,0,-28
725,0,0,36,0,-36
726,1,1,500,2634,2134
727,1,0,156,0,-156
728,0,0,116,0,-116
729,0,0,61,0,-61
730,1,0,94,0,-94
731,0,0,7,0,-7
732,1,1,270,3294,3024
733,1,0,23,0,-23
734,1,1,754,1900,1146
735,0,0,34,0,-34
736,1,0,10,0,-10
737,0,0,41,0,-41
738,0,0,11,0,-11
739,1,1,81,1548,1467
740,0,0,2,0,-2
741,0,0,13,0,-13
742,0,0,39,0,-39
743,1,1,286,1259,973
744,0,0,131,0,-131
745,0,0,36,0,-36
746,0,0,141,0,-141
747,1,0,84,0,-84
748,0,0,18,0,-18
749,1,0,4,0,-4
750,1,1,1113,1814,701
751,1,1,676,1372,696
752,0,0,11,0,-11
753,0,0,14,0,-14
754,1,1,911,2034,1123
755,1,0,5,0,-5
756,0,0,38,0,-38
757,0,0,32,0,-32
758,0,0,59,0,-59
759,0,0,36,0,-36
760,0,0,7,0,-7
761,1,0,23,0,-23
762,0,0,10,0,-10
763,1,1,181,1338,1157
764,1,0,28,0,-28
765,0,0,68,0,-68
766,1,0,52,0,-52
767,1,0,9,0,-9
768,0,0,6,0,-6
769,1,0,51,0,-51
770,0,0,122,0,-122
771,0,0,83,0,-83
772,0,0,75,0,-75
773,1,0,156,0,-156
774,0,0,24,0,-24
775,1,1,246,1405,1159
776,0,0,13,0,-13
777,1,0,12,0,-12
778,0,0,5,0,-5
779,1,1,1338,1500,162
780,1,0,4,0,-4
781,1,1,9,1280,1271
782,1,0,13,0,-13
783,1,1,1225,1356,131
784,0,0,22,0,-22
785,0,0,45,0,-45
786,1,0,11,0,-11
787,0,0,8,0,-8
788,1,0,61,0,-61
789,1,1,158,1418,1260
790,0,0,96,0,-96
791,1,1,65,1485,1420
792,1,0,17,0,-17
793,0,0,65,0,-65
